Frequency,Current
45500,0.00177434
45600,0.00174138
45700,0.00170959
45800,0.00167893
45900,0.00164935
46000,0.00162078
46100,0.00159318
46200,0.00156651
46300,0.00154071
46400,0.00151576
46500,0.00149161
46600,0.00146822
46700,0.00144557
46800,0.00142361
46900,0.00140232
47000,0.00138167
47100,0.00136163
47200,0.00134218
47300,0.00132329
47400,0.00130493
47500,0.0012871
47600,0.00126975
47700,0.00125289
47800,0.00123648
47900,0.00122051
48000,0.00120496
48100,0.00118982
48200,0.00117506
48300,0.00116069
48400,0.00114667
48500,0.00113301
48600,0.00111968
48700,0.00110667
48800,0.00109398
48900,0.00108159
49000,0.00106949
49100,0.00105767
49200,0.00104612
49300,0.00103484
49400,0.0010238
49500,0.00101302
49600,0.00100247
49700,0.000992152
49800,0.000982056
49900,0.000972175
50000,0.000962502
50100,0.000953032
50200,0.000943758
50300,0.000934673
50400,0.000925773
50500,0.000917052
50600,0.000908503
50700,0.000900124
50800,0.000891907
50900,0.000883849
51000,0.000875946
51100,0.000868192
51200,0.000860584
51300,0.000853117
51400,0.000845788
51500,0.000838593
51600,0.000831528
51700,0.00082459
51800,0.000817775
51900,0.00081108
52000,0.000804503
52100,0.000798039
52200,0.000791686
52300,0.000785442
52400,0.000779302
52500,0.000773266
52600,0.00076733
52700,0.000761491
52800,0.000755748
52900,0.000750098
53000,0.000744539
53100,0.000739068
53200,0.000733684
53300,0.000728384
53400,0.000723166
53500,0.00071803
53600,0.000712971
53700,0.00070799
53800,0.000703084
53900,0.000698251
54000,0.00069349
54100,0.000688799
54200,0.000684177
54300,0.000679622
54400,0.000675133
54500,0.000670708
54600,0.000666346
54700,0.000662045
54800,0.000657805
54900,0.000653623
55000,0.0006495
55100,0.000645433
55200,0.000641421
55300,0.000637463
55400,0.000633559
55500,0.000629707
55600,0.000625905
55700,0.000622154
55800,0.000618452
55900,0.000614797
56000,0.00061119
56100,0.000607629
56200,0.000604114
56300,0.000600642
56400,0.000597215
56500,0.00059383
56600,0.000590487
